unidade;ano;mes;setor_centro_custo;internacoes
HEM;2024,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;234,0
HEM;2024,0;1,0;UTI - ADULTO;27,0
HEM;2024,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;354,0
HEM;2024,0;2,0;UTI - ADULTO;30,0
HEM;2024,0;3,0;HOSPITAL DIA;1,0
HEM;2024,0;3,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;403,0
HEM;2024,0;3,0;UTI - ADULTO;23,0
HEM;2024,0;4,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;337,0
HEM;2024,0;4,0;UTI - ADULTO;23,0
HEM;2024,0;5,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;226,0
HEM;2024,0;5,0;UTI - ADULTO;19,0
HEM;2024,0;6,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;148,0
HEM;2024,0;6,0;UTI - ADULTO;18,0
HEM;2024,0;7,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;141,0
HEM;2024,0;7,0;UTI - ADULTO;15,0
HEM;2024,0;8,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;125,0
HEM;2024,0;8,0;UTI - ADULTO;15,0
HEM;2024,0;9,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;132,0
HEM;2024,0;9,0;UTI - ADULTO;19,0
HEM;2024,0;10,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;132,0
HEM;2024,0;10,0;UTI - ADULTO;12,0
HEM;2024,0;11,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;136,0
HEM;2024,0;11,0;UTI - ADULTO;13,0
HEM;2024,0;12,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;110,0
HEM;2024,0;12,0;UTI - ADULTO;24,0
HEM;2025,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;120,0
HEM;2025,0;1,0;UTI - ADULTO;28,0
HEM;2025,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;123,0
HEM;2025,0;2,0;UTI - ADULTO;22,0
HEM;2025,0;3,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;133,0
HEM;2025,0;3,0;UTI - ADULTO;20,0
HEM;2025,0;4,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;150,0
HEM;2025,0;4,0;UTI - ADULTO;17,0
HEM;2025,0;5,0;AMBULATORIO DE INFECTOLOGIA;1,0
HEM;2025,0;5,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;135,0
HEM;2025,0;5,0;UTI - ADULTO;17,0
HEM;2025,0;6,0;ALA A;25,0
HEM;2025,0;6,0;ALA C;29,0
HEM;2025,0;6,0;ALA D;27,0
HEM;2025,0;6,0;CTI - ADULTO;23,0
HEM;2025,0;6,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;12,0
HEM;2025,0;6,0;UTI - ADULTO;2,0
HEM;2025,0;7,0;ALA A;51,0
HEM;2025,0;7,0;ALA C;60,0
HEM;2025,0;7,0;ALA D;34,0
HEM;2025,0;7,0;CTI - ADULTO;37,0
HEM;2025,0;8,0;ALA A;44,0
HEM;2025,0;8,0;ALA C;51,0
HEM;2025,0;8,0;ALA D;38,0
HEM;2025,0;8,0;CTI - ADULTO;37,0
